run_index,run_id,scheme,layout,schedule,length,mults,jobs,fixture_seed,fixture_fnv1a64,repetitions,verified_measured_output_coefficients,openfhe_version,compiler,hardware_threads,omp_num_threads,process_elapsed_seconds,plaintext_modulus,ring_dimension,parameter_multiplicative_depth,ctct_depth,ciphertext_q_bits,ciphertext_q_log2,ciphertext_q_towers,ciphertext_q_primes,key_switching_p_bits,key_switching_p_primes,key_switching_qp_bits,output_q_towers,key_switching_technique,secret_key_distribution,scaling_technique,encryption_technique,multiplication_technique,evaluation_points,integer_low_coefficient_bound,jobs_per_ciphertext_capacity,ciphertext_batches,input_ciphertexts,output_ciphertexts,ctct_calls_per_trial,rotation_calls,bootstrap_calls,security_requested,independent_security_certification,public_key_bytes,relinearization_key_bytes,input_bytes,output_bytes,peak_rss_bytes,setup_ms,precomputation_ms,encode_ms_median,encode_ms_min,encode_ms_max,encrypt_ms_median,encrypt_ms_min,encrypt_ms_max,eval_ms_median,eval_ms_min,eval_ms_max,decrypt_ms_median,decrypt_ms_min,decrypt_ms_max,decode_ms_median,decode_ms_min,decode_ms_max,end_to_end_ms_median,end_to_end_ms_min,end_to_end_ms_max,eval_jobs_per_second_median,eval_jobs_per_second_min,eval_jobs_per_second_max,end_to_end_jobs_per_second_median,end_to_end_jobs_per_second_min,end_to_end_jobs_per_second_max,case_path,case_sha256
1,leveled-main-v2,BFV,packed_terminal,sequential,8,1,1,11,2150130927333774173,7,56,1.5.1,16.1.0,32,1,0.11408300000039162,65537,8192,1,1,120,120.0,2,"[""1152921504606830593"",""1152921504606748673""]",0,[],120,2,BV,UNIFORM_TERNARY,NORESCALE,STANDARD,HPSPOVERQLEVELED,15,8,546,1,2,1,1,0,0,HEStd_128_classic,False,262967,525405,526022,263211,14417920,10.3509,0.0184,0.5272,0.5039,0.6157,5.4295,5.274,5.5549,5.0756,4.8617,5.2568,0.4785,0.4105,0.5363,0.0016,0.0013,0.002,11.5423,11.208800000000002,11.8392,197.0210418472693,190.22979759549534,205.6893679165724,86.63784514351559,84.46516656530846,89.2156163014774,Code/experiments/leveled_jet_comparison/results/leveled-main-v2/042-BFV-packed_terminal-e8-d1-j1-sequential.json,90a330016c461cc56991bf75c1d59bb17311c83cc25e8b80bce87593b8d91193
1,leveled-main-v2,BGV,native,sequential,8,1,1,11,2150130927333774173,7,56,1.5.1,16.1.0,32,1,0.11222039999847766,2,8192,1,1,54,53.926331,3,"[""65537"",""2277377"",""114689""]",60,"[""1152921504606830593""]",114,2,HYBRID,UNIFORM_TERNARY,FLEXIBLEAUTOEXT,STANDARD,HPS,15,8,1,1,2,1,1,0,0,HEStd_128_classic,False,394145,1050293,788378,263163,15560704,11.8313,0.0043,3.0604,3.0315,3.2118,4.4159,4.3508,4.9745,2.8075,2.6272,3.2736,0.4815,0.4724,0.5012,0.0025,0.0024,0.0029,10.933,10.692,11.2871,356.18878005342833,305.4740957966764,380.63337393422654,91.4662032379036,88.59671660568259,93.52787130564909,Code/experiments/leveled_jet_comparison/results/leveled-main-v2/048-BGV-native-e8-d1-j1-sequential.json,9ce73b2f611023a812930a3017d895fa0881737eaad9daea973d24be02cc30a7
1,leveled-main-v2,BGV,packed_terminal,sequential,8,1,1,11,2150130927333774173,7,56,1.5.1,16.1.0,32,1,0.09870450000016717,65537,8192,1,1,83,82.807556,3,"[""1073872897"",""68720050177"",""114689""]",120,"[""1152921497895862273"",""1152921422732787713""]",203,2,HYBRID,UNIFORM_TERNARY,FLEXIBLEAUTOEXT,STANDARD,HPS,15,8,546,1,2,1,1,0,0,HEStd_128_classic,False,394153,1312641,788394,263179,16035840,15.7848,0.0161,0.6827,0.668,0.7251,4.5139,4.3037,4.8955,3.0638,2.9818,3.261,0.5527,0.5427,0.6473,0.0012,0.0008,0.0015,8.8708,8.5183,9.211,326.3920621450486,306.65440049064705,335.3678985847475,112.72940433782749,108.56584518510476,117.39431576723055,Code/experiments/leveled_jet_comparison/results/leveled-main-v2/069-BGV-packed_terminal-e8-d1-j1-sequential.json,ece48e423cab8ce3ac4f53ad83e574d7c2100a4f455473473b088a10cf83f05e
1,leveled-main-v2,BFV,native,sequential,8,1,16,11,14459280580230685257,7,896,1.5.1,16.1.0,32,1,1.5694650999994337,2,8192,1,1,120,120.0,2,"[""1152921504606830593"",""1152921504606748673""]",0,[],120,2,BV,UNIFORM_TERNARY,NORESCALE,STANDARD,HPSPOVERQLEVELED,15,8,1,16,32,16,16,0,0,HEStd_128_classic,False,262967,525405,8416352,4211376,46206976,10.624,0.0093,37.8304,37.2397,38.1006,77.2884,77.1335,78.1816,67.6011,67.4861,68.4435,4.0178,3.9842,4.1506,0.0339,0.0318,0.0349,187.26540000000003,186.24669999999998,187.88049999999998,236.68253918945106,233.7694594811779,237.08585916210896,85.44023615681273,85.16051426305552,85.90756238902489,Code/experiments/leveled_jet_comparison/results/leveled-main-v2/033-BFV-native-e8-d1-j16-sequential.json,be6d87b0fd92f71706d7457e9094dc963be0a7b72224986559287f4b2712dc3f
1,leveled-main-v2,BFV,packed_terminal,sequential,8,1,16,11,14459280580230685257,7,896,1.5.1,16.1.0,32,1,0.1205960999996023,65537,8192,1,1,120,120.0,2,"[""1152921504606830593"",""1152921504606748673""]",0,[],120,2,BV,UNIFORM_TERNARY,NORESCALE,STANDARD,HPSPOVERQLEVELED,15,8,546,1,2,1,1,0,0,HEStd_128_classic,False,262967,525405,526022,263211,14442496,10.8441,0.0223,0.5405,0.5285,0.5698,5.6265,5.4619,6.1496,5.3225,4.9856,5.6227,0.5271,0.4406,0.6567,0.0068,0.0052,0.0072,12.006200000000002,11.7118,12.6252,3006.1061531235323,2845.607981930389,3209.242618741977,1332.6448001865701,1267.3066565282134,1366.143547533257,Code/experiments/leveled_jet_comparison/results/leveled-main-v2/030-BFV-packed_terminal-e8-d1-j16-sequential.json,98a4444e9576d341a046965c0df9a13344710bf9bac89e4c439982092efc67fe
1,leveled-main-v2,BGV,native,sequential,8,1,16,11,14459280580230685257,7,896,1.5.1,16.1.0,32,1,1.283499999999549,2,8192,1,1,54,53.926331,3,"[""65537"",""2277377"",""114689""]",60,"[""1152921504606830593""]",114,2,HYBRID,UNIFORM_TERNARY,FLEXIBLEAUTOEXT,STANDARD,HPS,15,8,1,16,32,16,16,0,0,HEStd_128_classic,False,394145,1050293,12614048,4210608,52998144,12.0101,0.01,50.8837,49.5503,52.0299,60.3317,59.9447,60.7444,35.8174,35.7122,36.0451,4.8766,4.7232,5.0038,0.031,0.0299,0.0348,152.0225,151.0045,152.57129999999998,446.7102581426904,443.88835098251917,448.0261647280201,105.24757848344817,104.8690022304326,105.95710723852599,Code/experiments/leveled_jet_comparison/results/leveled-main-v2/067-BGV-native-e8-d1-j16-sequential.json,b18314eb221a643de41684b28bab611a14183f03c403a50feb1f9b4dd07d9140
1,leveled-main-v2,BGV,packed_terminal,sequential,8,1,16,11,14459280580230685257,7,896,1.5.1,16.1.0,32,1,0.09916180000072927,65537,8192,1,1,83,82.807556,3,"[""1073872897"",""68720050177"",""114689""]",120,"[""1152921497895862273"",""1152921422732787713""]",203,2,HYBRID,UNIFORM_TERNARY,FLEXIBLEAUTOEXT,STANDARD,HPS,15,8,546,1,2,1,1,0,0,HEStd_128_classic,False,394153,1312641,788394,263179,16056320,15.1468,0.021,0.6944,0.6729,0.7674,4.4553,4.3666,4.7446,3.0809,2.9598,3.1852,0.5815,0.5478,0.7719,0.0043,0.004,0.0049,8.893699999999999,8.6226,9.0804,5193.287675679185,5023.232450081628,5405.770660179742,1799.026277027559,1762.0369146733626,1855.5888015215828,Code/experiments/leveled_jet_comparison/results/leveled-main-v2/041-BGV-packed_terminal-e8-d1-j16-sequential.json,aaae85d26459461526c07083d05bf1512d07da5b7f3662dcf6eb50b8bbf6753a
1,leveled-main-v2,BFV,native,sequential,8,2,1,11,11158858400013398168,7,56,1.5.1,16.1.0,32,1,0.19739140000092448,2,8192,2,2,120,120.0,2,"[""1152921504606830593"",""1152921504606748673""]",0,[],120,2,BV,UNIFORM_TERNARY,NORESCALE,STANDARD,HPSPOVERQLEVELED,22,36,1,1,3,1,2,0,0,HEStd_128_classic,False,262967,525405,789033,263211,16052224,10.525,0.0044,3.5126,3.4461,3.6957,7.7613,7.626,7.8707,9.8488,9.6826,9.9947,0.4415,0.4306,0.591,0.0028,0.0025,0.003,21.5946,21.3822,21.819100000000002,101.53521241166436,100.05302810489559,103.27804515316133,46.30787326461245,45.83140459505662,46.76787234241565,Code/experiments/leveled_jet_comparison/results/leveled-main-v2/037-BFV-native-e8-d2-j1-sequential.json,17113120c09594eb574ce9021c02304e0e2e3ebba628fd7b18e9ffd198281b85
1,leveled-main-v2,BFV,packed_terminal,sequential,8,2,1,11,11158858400013398168,7,56,1.5.1,16.1.0,32,1,0.24600629999986268,65537,8192,2,2,180,180.0,3,"[""1152921504606830593"",""1152921504606748673"",""1152921504606683137""]",0,[],180,3,BV,UNIFORM_TERNARY,NORESCALE,STANDARD,HPSPOVERQLEVELED,22,36,372,1,3,1,2,0,0,HEStd_128_classic,False,394161,1181191,1182615,394461,18874368,16.196,0.0346,1.0175,0.9754,1.0974,10.3181,10.0989,10.4451,15.2687,14.8407,15.6005,0.6287,0.6215,0.7785,0.0025,0.0017,0.0029,27.0827,26.9389,27.679199999999998,65.49346047797127,64.1005095990513,67.38226633514591,36.923940375221086,36.12821179802885,37.12104057700945,Code/experiments/leveled_jet_comparison/results/leveled-main-v2/023-BFV-packed_terminal-e8-d2-j1-sequential.json,1f2e5ca481cc041ab8cdd0408ce31c836cb16c443f19fb98e6c02e6191ded752
1,leveled-main-v2,BGV,native,sequential,8,2,1,11,11158858400013398168,7,56,1.5.1,16.1.0,32,1,0.21237270000165154,2,8192,2,2,76,75.135785,4,"[""65537"",""2277377"",""2424833"",""114689""]",60,"[""1152921504606830593""]",136,2,HYBRID,UNIFORM_TERNARY,FLEXIBLEAUTOEXT,STANDARD,HPS,22,36,1,1,3,1,2,0,0,HEStd_128_classic,False,525339,1312681,1576149,263219,18980864,14.0757,0.0046,6.2344,6.1692,6.6343,8.2266,7.7898,8.7819,7.8659,7.5879,8.2502,0.4264,0.3877,0.4714,0.0029,0.0026,0.0038,22.911599999999996,22.4934,23.0248,127.13103395669917,121.20918280768952,131.78876896110913,43.6460133731385,43.43143045759356,44.457485306801104,Code/experiments/leveled_jet_comparison/results/leveled-main-v2/025-BGV-native-e8-d2-j1-sequential.json,f54c9816892ca1855608d161df73bad9771072d97830f95691b3701e8c099c97
1,leveled-main-v2,BGV,packed_terminal,sequential,8,2,1,11,11158858400013398168,7,56,1.5.1,16.1.0,32,1,0.3400915000001987,65537,16384,2,2,123,122.322789,4,"[""2148728833"",""137439510529"",""137439870977"",""163841""]",120,"[""1152921497895862273"",""1152921422732787713""]",243,2,HYBRID,UNIFORM_TERNARY,FLEXIBLEAUTOEXT,STANDARD,HPS,22,36,744,1,3,1,2,0,0,HEStd_128_classic,False,1049627,3147877,3149013,525371,30396416,33.4804,0.0357,2.5447,2.5001,2.7646,15.6156,15.3129,15.8248,17.0301,16.4085,17.3805,0.8887,0.8015,0.9167,0.0018,0.0016,0.0027,36.1604,35.156800000000004,36.701899999999995,58.71956124743836,57.53574408101032,60.94402291495262,27.654561343347968,27.24654581915378,28.443999453875207,Code/experiments/leveled_jet_comparison/results/leveled-main-v2/066-BGV-packed_terminal-e8-d2-j1-sequential.json,04ad99b91502fb448968136b88ab6f2c82acf25cd0e749ab9271491047d74d39
