campaign,arm,setup_id,state,seconds,first_use_seconds,input_bytes,output_bytes,public_bytes,peak_rss_MiB,encryption_seconds,evaluation_seconds,recipient_seconds,receipt_sha256,output_sha256
openfhe_composition,native,9,cold,4.801179185000024,10.239377312000101,143655584,2097280,586156560,810.09375,2.600926313000059,1.959415773000046,0.03422666300002675,61af72f56a308cb18ef6e13d25eb3b3cc54f56150c2989396259f26f7837da6f,d22a60188ba884b10626ae52a2902f003cc2535294053979c417c39be68fbda3
openfhe_composition,native,9,warm,4.733799128000101,10.239377312000101,143655584,2097280,586156560,810.09375,2.5532388320000337,1.935324043000037,0.03410276900001463,61af72f56a308cb18ef6e13d25eb3b3cc54f56150c2989396259f26f7837da6f,d22a60188ba884b10626ae52a2902f003cc2535294053979c417c39be68fbda3
openfhe_composition,recipient-compute,10,cold,0.822807146,0.825916706,263634,131817,131773,44.05859375,0.003108908,1.9687e-05,0.818622909,7f008f7789f5c8ce5aba1afb885c607fb47133d3dc1df0079fe04687b9119d80,d22a60188ba884b10626ae52a2902f003cc2535294053979c417c39be68fbda3
openfhe_composition,recipient-compute,10,warm,0.819032545,0.825916706,263634,131817,131773,44.05859375,0.003481974,1.7704e-05,0.815075719,7f008f7789f5c8ce5aba1afb885c607fb47133d3dc1df0079fe04687b9119d80,d22a60188ba884b10626ae52a2902f003cc2535294053979c417c39be68fbda3
openfhe_composition,terminal-products,11,cold,12.649719308,12.68091931,1606895745,804367395,1573801,44.24609375,7.464756519,2.534690666,1.0038228,6cc74c88f576babf8672e3ccf8fc62d2d700503e828e69e949542de689021620,d22a60188ba884b10626ae52a2902f003cc2535294053979c417c39be68fbda3
openfhe_composition,terminal-products,11,warm,12.884547582,12.68091931,1606895745,804367395,1573801,44.24609375,7.658112834,2.592359912,0.989803127,6cc74c88f576babf8672e3ccf8fc62d2d700503e828e69e949542de689021620,d22a60188ba884b10626ae52a2902f003cc2535294053979c417c39be68fbda3
shared_backend_composition,native,0,cold,1.764132571999994,3.834498454999988,108004000,3145864,311428896,498.64453125,0.9378853420000155,0.6025763410000025,0.02840826399997809,a0a53aceb4dbb330572b909c7db55e8fb3a62024e78498cfb381c827291c7179,d22a60188ba884b10626ae52a2902f003cc2535294053979c417c39be68fbda3
shared_backend_composition,native,0,warm,1.7463539180000112,3.834498454999988,108004000,3145864,311428896,498.64453125,0.922226524999985,0.6011285540000131,0.028391282999990608,a0a53aceb4dbb330572b909c7db55e8fb3a62024e78498cfb381c827291c7179,d22a60188ba884b10626ae52a2902f003cc2535294053979c417c39be68fbda3
shared_backend_composition,control,1,cold,7.848438655000024,7.937754361000032,362822688,137375408,1048704,63.359375,3.686767940999829,0.09125798300004817,1.436814942000069,b3c31aa9f0062fb5804e88c640afb37f25a488bf7de5f4d85def8d5ed30b6afd,d22a60188ba884b10626ae52a2902f003cc2535294053979c417c39be68fbda3
shared_backend_composition,control,1,warm,7.724637803000007,7.937754361000032,362822688,137375408,1048704,63.359375,3.696618864999948,0.09196072000011668,1.4358318039998892,b3c31aa9f0062fb5804e88c640afb37f25a488bf7de5f4d85def8d5ed30b6afd,d22a60188ba884b10626ae52a2902f003cc2535294053979c417c39be68fbda3
shared_backend_composition,control,2,cold,7.695164771000009,7.781928413000003,362822688,137375408,1048704,63.12109375,3.691012556000146,0.0927747569997166,1.4361401019999391,19a632ac3404696aa3f2ab1d756af09fa2fa4dcb520d54a42aa5a85474408ed0,d22a60188ba884b10626ae52a2902f003cc2535294053979c417c39be68fbda3
